Ticker,Sector,Industry,CompanyName
MMM,Industrials,Conglomerates,3M Company
AOS,Industrials,Specialty Industrial Machinery,A. O. Smith Corporation
ABT,Healthcare,Medical Devices,Abbott Laboratories
ABBV,Healthcare,Drug Manufacturers - General,AbbVie Inc.
ACN,Technology,Information Technology Services,Accenture plc
ADBE,Technology,Software - Infrastructure,Adobe Inc.
AMD,Technology,Semiconductors,"Advanced Micro Devices, Inc."
AES,Utilities,Utilities - Diversified,The AES Corporation
AFL,Financial Services,Insurance - Life,Aflac Incorporated
A,Healthcare,Diagnostics & Research,"Agilent Technologies, Inc."
APD,Basic Materials,Specialty Chemicals,"Air Products and Chemicals, Inc."
ABNB,Consumer Cyclical,Travel Services,"Airbnb, Inc."
AKAM,Technology,Software - Infrastructure,"Akamai Technologies, Inc."
ALB,Basic Materials,Specialty Chemicals,Albemarle Corporation
ARE,Real Estate,REIT - Office,"Alexandria Real Estate Equities, Inc."
ALGN,Healthcare,Medical Instruments & Supplies,"Align Technology, Inc."
ALLE,Industrials,Security & Protection Services,Allegion plc
LNT,Utilities,Utilities - Regulated Electric,Alliant Energy Corporation
ALL,Financial Services,Insurance - Property & Casualty,The Allstate Corporation
GOOGL,Communication Services,Internet Content & Information,Alphabet Inc.
GOOG,Communication Services,Internet Content & Information,Alphabet Inc.
MO,Consumer Defensive,Tobacco,"Altria Group, Inc."
AMZN,Consumer Cyclical,Internet Retail,"Amazon.com, Inc."
AMCR,Consumer Cyclical,Packaging & Containers,Amcor plc
AMTM,Industrials,Specialty Business Services,"Amentum Holdings, Inc."
AEE,Utilities,Utilities - Regulated Electric,Ameren Corporation
AEP,Utilities,Utilities - Regulated Electric,"American Electric Power Company, Inc."
AXP,Financial Services,Credit Services,American Express Company
AIG,Financial Services,Insurance - Diversified,"American International Group, Inc."
AMT,Real Estate,REIT - Specialty,American Tower Corporation
AWK,Utilities,Utilities - Regulated Water,"American Water Works Company, Inc."
AMP,Financial Services,Asset Management,"Ameriprise Financial, Inc."
AME,Industrials,Specialty Industrial Machinery,"AMETEK, Inc."
AMGN,Healthcare,Drug Manufacturers - General,Amgen Inc.
APH,Technology,Electronic Components,Amphenol Corporation
ADI,Technology,Semiconductors,"Analog Devices, Inc."
ANSS,Technology,Software - Application,"ANSYS, Inc."
AON,Financial Services,Insurance Brokers,Aon plc
APA,Energy,Oil & Gas E&P,APA Corporation
AAPL,Technology,Consumer Electronics,Apple Inc.
AMAT,Technology,Semiconductor Equipment & Materials,"Applied Materials, Inc."
APTV,Consumer Cyclical,Auto Parts,Aptiv PLC
ACGL,Financial Services,Insurance - Diversified,Arch Capital Group Ltd.
ADM,Consumer Defensive,Farm Products,Archer-Daniels-Midland Company
ANET,Technology,Computer Hardware,Arista Networks Inc
AJG,Financial Services,Insurance Brokers,Arthur J. Gallagher & Co.
AIZ,Financial Services,Insurance - Property & Casualty,"Assurant, Inc."
T,Communication Services,Telecom Services,AT&T Inc.
ATO,Utilities,Utilities - Regulated Gas,Atmos Energy Corporation
ADSK,Technology,Software - Application,"Autodesk, Inc."
ADP,Technology,Software - Application,"Automatic Data Processing, Inc."
AZO,Consumer Cyclical,Specialty Retail,"AutoZone, Inc."
AVB,Real Estate,REIT - Residential,"AvalonBay Communities, Inc."
AVY,Consumer Cyclical,Packaging & Containers,Avery Dennison Corporation
AXON,Industrials,Aerospace & Defense,"Axon Enterprise, Inc."
BKR,Energy,Oil & Gas Equipment & Services,Baker Hughes Company
BALL,Consumer Cyclical,Packaging & Containers,Ball Corporation
BAC,Financial Services,Banks - Diversified,Bank of America Corporation
BAX,Healthcare,Medical Instruments & Supplies,Baxter International Inc.
BDX,Healthcare,Medical Instruments & Supplies,"Becton, Dickinson and Company"
BRK.B,,,
BBY,Consumer Cyclical,Specialty Retail,"Best Buy Co., Inc."
TECH,Healthcare,Biotechnology,Bio-Techne Corporation
BIIB,Healthcare,Drug Manufacturers - General,Biogen Inc.
BLK,Financial Services,Asset Management,"BlackRock, Inc."
BX,Financial Services,Asset Management,Blackstone Inc.
BK,Financial Services,Banks - Diversified,The Bank of New York Mellon Corporation
BA,Industrials,Aerospace & Defense,The Boeing Company
BKNG,Consumer Cyclical,Travel Services,Booking Holdings Inc.
BWA,Consumer Cyclical,Auto Parts,BorgWarner Inc.
BSX,Healthcare,Medical Devices,Boston Scientific Corporation
BMY,Healthcare,Drug Manufacturers - General,Bristol-Myers Squibb Company
AVGO,Technology,Semiconductors,Broadcom Inc.
BR,Technology,Information Technology Services,"Broadridge Financial Solutions, Inc."
BRO,Financial Services,Insurance Brokers,"Brown & Brown, Inc."
BF.B,,,
BLDR,Industrials,Building Products & Equipment,"Builders FirstSource, Inc."
BG,Consumer Defensive,Farm Products,Bunge Global SA
BXP,Real Estate,REIT - Office,"BXP, Inc."
CHRW,Industrials,Integrated Freight & Logistics,"C.H. Robinson Worldwide, Inc."
CDNS,Technology,Software - Application,"Cadence Design Systems, Inc."
CZR,Consumer Cyclical,Resorts & Casinos,"Caesars Entertainment, Inc."
CPT,Real Estate,REIT - Residential,Camden Property Trust
CPB,Consumer Defensive,Packaged Foods,The Campbell's Company
COF,Financial Services,Credit Services,Capital One Financial Corporation
CAH,Healthcare,Medical Distribution,"Cardinal Health, Inc."
KMX,Consumer Cyclical,Auto & Truck Dealerships,"CarMax, Inc."
CCL,Consumer Cyclical,Travel Services,Carnival Corporation & plc
CARR,Industrials,Building Products & Equipment,Carrier Global Corporation
